0	antihyperlipidemic_-_hmg_coa_reductase_inhibitors
1	"antihyperglycemic,_biguanide_type"
2	beta-adrenergic_blocking_agents
3	insulins
4	calcium_channel_blocking_agents
5	"antihypertensives,_ace_inhibitors"
6	"antihypertensives,_angiotensin_receptor_antagonist"
7	"antihyperglycemic,_insulin-release_stimulant_type"
8	"antihypergly,incretin_mimetic(glp-1_recep.agonist)"
9	"antihyperglycemic,_dpp-4_inhibitors"
10	thiazide_and_related_diuretics
11	angiotensin_receptor_antag.-thiazide_diuretic_comb
12	alpha/beta-adrenergic_blocking_agents
13	"antihyperglycemic,_biguanide_type, antihyperlipidemic_-_hmg_coa_reductase_inhibitors"
14	"antihyperlipidemic_-_hmg_coa_reductase_inhibitors, beta-adrenergic_blocking_agents"
15	"antihyperglycemic,dpp-4_inhibitor-biguanide_combs."
16	lipotropics
17	antihyperglycemc-sod/gluc_cotransport2(sglt2)inhib
18	"antihyperlipidemic_-_hmg_coa_reductase_inhibitors, antihypertensives,_ace_inhibitors"
19	"antihyperlipidemic_-_hmg_coa_reductase_inhibitors, antihypertensives,_angiotensin_receptor_antagonist"
20	"antihyperlipidemic_-_hmg_coa_reductase_inhibitors, calcium_channel_blocking_agents"
21	"antihyperglycemic,_biguanide_type, antihyperglycemic,_insulin-release_stimulant_type"
22	"antihyperglycemic,_biguanide_type, antihypertensives,_ace_inhibitors"
23	"antihyperglycemic,_biguanide_type, antihyperlipidemic_-_hmg_coa_reductase_inhibitors, antihypertensives,_ace_inhibitors"
24	ace_inhibitor-thiazide_or_thiazide-like_diuretic
25	"antihypertensives,_ace_inhibitors, beta-adrenergic_blocking_agents"
26	"antihyperlipidemic_-_hmg_coa_reductase_inhibitors, antihypertensives,_ace_inhibitors, beta-adrenergic_blocking_agents"
27	"antihyperlipidemic_-_hmg_coa_reductase_inhibitors, antihypertensives,_angiotensin_receptor_antagonist, beta-adrenergic_blocking_agents"
28	"antihypertensives,_angiotensin_receptor_antagonist, beta-adrenergic_blocking_agents"
29	"antihyperglycemic,_biguanide_type, antihyperlipidemic_-_hmg_coa_reductase_inhibitors, antihypertensives,_angiotensin_receptor_antagonist"
30	"antihypertensives,_angiotensin_receptor_antagonist, calcium_channel_blocking_agents"
31	"angiotensin_receptor_antag.-thiazide_diuretic_comb, antihyperlipidemic_-_hmg_coa_reductase_inhibitors"
32	"antihyperglycemic,_biguanide_type, antihypertensives,_angiotensin_receptor_antagonist"
33	"beta-adrenergic_blocking_agents, calcium_channel_blocking_agents"
34	"antihyperglycemic,_biguanide_type, beta-adrenergic_blocking_agents"
35	"antihyperglycemic,_biguanide_type, insulins"
36	"antihyperglycemic,insulin-release_stim.-biguanide"
37	"antihyperglycemic,_insulin-release_stimulant_type, antihyperlipidemic_-_hmg_coa_reductase_inhibitors"
38	"antihyperlipidemic_-_hmg_coa_reductase_inhibitors, insulins"
39	"antihyperglycemic,_biguanide_type, antihyperglycemic,_dpp-4_inhibitors"
40	"alpha/beta-adrenergic_blocking_agents, antihyperlipidemic_-_hmg_coa_reductase_inhibitors"
41	bile_salt_sequestrants
42	"antihyperlipidemic_-_hmg_coa_reductase_inhibitors, beta-adrenergic_blocking_agents, calcium_channel_blocking_agents"
43	"antihyperglycemic,thiazolidinedione(pparg_agonist)"
44	"antihyperglycemic,dpp-4_inhibitor-biguanide_combs., antihyperlipidemic_-_hmg_coa_reductase_inhibitors"
45	"antihyperglycemic,_biguanide_type, antihyperlipidemic_-_hmg_coa_reductase_inhibitors, beta-adrenergic_blocking_agents"
46	"angiotensin_receptor_antag.-thiazide_diuretic_comb, antihyperlipidemic_-_hmg_coa_reductase_inhibitors, beta-adrenergic_blocking_agents"
47	"antihypertensives,_ace_inhibitors, calcium_channel_blocking_agents"
48	"antihyperlipidemic_-_hmg_coa_reductase_inhibitors, lipotropics"
49	potassium_sparing_diuretics_in_combination
50	"antihypertensives,_ace_inhibitors, insulins"
51	"antihypertensives,_angiotensin_receptor_antagonist, thiazide_and_related_diuretics"
52	angiotensin_receptor_blockr-calcium_channel_blockr
53	"angiotensin_receptor_antag.-thiazide_diuretic_comb, beta-adrenergic_blocking_agents"
54	"angiotensin_receptor_antag.-thiazide_diuretic_comb, calcium_channel_blocking_agents"
55	"antihyperlipidemic_-_hmg_coa_reductase_inhibitors, thiazide_and_related_diuretics"
56	"antihyperglycemic,_biguanide_type, calcium_channel_blocking_agents"
57	"alpha/beta-adrenergic_blocking_agents, antihypertensives,_angiotensin_receptor_antagonist"
58	"angiotensin_receptor_antag.-thiazide_diuretic_comb, antihyperglycemic,_biguanide_type"
59	"antihypergly,incretin_mimetic(glp-1_recep.agonist), antihyperglycemic,_biguanide_type"
60	"alpha/beta-adrenergic_blocking_agents, antihyperlipidemic_-_hmg_coa_reductase_inhibitors, antihypertensives,_ace_inhibitors"
61	"angiotensin_receptor_antag.-thiazide_diuretic_comb, antihyperglycemic,_biguanide_type, antihyperlipidemic_-_hmg_coa_reductase_inhibitors"
62	"antihyperglycemic,_biguanide_type, antihyperlipidemic_-_hmg_coa_reductase_inhibitors, antihypertensives,_ace_inhibitors, beta-adrenergic_blocking_agents"
63	angioten.receptr_antag-calcium_chanl_blkr-thiazide
64	"antihyperglycemic,_dpp-4_inhibitors, antihyperlipidemic_-_hmg_coa_reductase_inhibitors"
65	"antihyperglycemic,_biguanide_type, antihyperglycemic,_insulin-release_stimulant_type, antihyperlipidemic_-_hmg_coa_reductase_inhibitors"
66	"antihyperlipidemic_-_hmg_coa_reductase_inhibitors, antihypertensives,_angiotensin_receptor_antagonist, calcium_channel_blocking_agents"
67	"antihyperglycemic,_insulin-release_stimulant_type, antihyperglycemic,dpp-4_inhibitor-biguanide_combs."
68	"calcium_channel_blocking_agents, thiazide_and_related_diuretics"
69	"antihypertensives,_ace_inhibitors, thiazide_and_related_diuretics"
70	"antihyperlipidemic_-_hmg_coa_reductase_inhibitors, antihypertensives,_ace_inhibitors, calcium_channel_blocking_agents"
71	"antihyperglycemic,_biguanide_type, antihyperlipidemic_-_hmg_coa_reductase_inhibitors, antihypertensives,_angiotensin_receptor_antagonist, beta-adrenergic_blocking_agents"
72	"alpha/beta-adrenergic_blocking_agents, antihypertensives,_ace_inhibitors"
73	"angiotensin_receptor_antag.-thiazide_diuretic_comb, antihyperglycemic,_biguanide_type, antihyperlipidemic_-_hmg_coa_reductase_inhibitors, beta-adrenergic_blocking_agents"
74	"antihyperlipidemic_-_hmg_coa_reductase_inhibitors, antihypertensives,_angiotensin_receptor_antagonist, beta-adrenergic_blocking_agents, calcium_channel_blocking_agents"
75	"antihyperlipidemic_-_hmg_coa_reductase_inhibitors, antihypertensives,_ace_inhibitors, beta-adrenergic_blocking_agents, calcium_channel_blocking_agents"
76	"beta-blockers_and_thiazide,thiazide-like_diuretics"
77	"alpha/beta-adrenergic_blocking_agents, antihyperlipidemic_-_hmg_coa_reductase_inhibitors, antihypertensives,_angiotensin_receptor_antagonist"
78	"antihyperlipidemic_-_hmg_coa_reductase_inhibitors, antihypertensives,_ace_inhibitors, insulins"
79	"antihyperglycemic,dpp-4_inhibitor-biguanide_combs., antihyperlipidemic_-_hmg_coa_reductase_inhibitors, antihypertensives,_ace_inhibitors"
80	"antihyperglycemic,_biguanide_type, antihyperglycemic,_insulin-release_stimulant_type, antihyperlipidemic_-_hmg_coa_reductase_inhibitors, antihypertensives,_ace_inhibitors"
81	"antihyperglycemic,_dpp-4_inhibitors, antihyperglycemic,_insulin-release_stimulant_type"
82	"antihyperglycemic,_biguanide_type, thiazide_and_related_diuretics"
83	"antihyperglycemic,_biguanide_type, antihyperlipidemic_-_hmg_coa_reductase_inhibitors, antihypertensives,_ace_inhibitors, calcium_channel_blocking_agents"
84	"ace_inhibitor-thiazide_or_thiazide-like_diuretic, antihyperlipidemic_-_hmg_coa_reductase_inhibitors"
85	"beta-adrenergic_blocking_agents, thiazide_and_related_diuretics"
86	"angiotensin_receptor_antag.-thiazide_diuretic_comb, antihyperlipidemic_-_hmg_coa_reductase_inhibitors, calcium_channel_blocking_agents"
87	"beta-adrenergic_blocking_agents, insulins"
88	"calcium_channel_blocking_agents, insulins"
89	angiotensin_recept-neprilysin_inhibitor_comb(arni)
90	"antihyperglycemic,_insulin-release_stimulant_type, beta-adrenergic_blocking_agents"
91	"antihyperglycemc-sod/gluc_cotransport2(sglt2)inhib, antihyperglycemic,_biguanide_type"
92	"antihypertensives,_angiotensin_receptor_antagonist, insulins"
93	"antihyperglycemic,_biguanide_type, antihyperlipidemic_-_hmg_coa_reductase_inhibitors, calcium_channel_blocking_agents"
94	"alpha/beta-adrenergic_blocking_agents, calcium_channel_blocking_agents"
95	"antihyperglycemic,_insulin-release_stimulant_type, antihypertensives,_ace_inhibitors"
96	"antihyperglycemic,_biguanide_type, antihypertensives,_angiotensin_receptor_antagonist, calcium_channel_blocking_agents"
97	"antihypertensives,_ace_inhibitors, beta-adrenergic_blocking_agents, calcium_channel_blocking_agents"
98	"antihyperglycemic,_biguanide_type, antihyperglycemic,_insulin-release_stimulant_type, antihypertensives,_ace_inhibitors"
99	"antihyperglycemic,_insulin-release_stimulant_type, antihypertensives,_angiotensin_receptor_antagonist"